"バーチャルおばあちゃん","2018-01-31T00:48:04Z","バーチャルおばあちゃんの同時配信テスト",=HYPERLINK("https://www.youtube.com/watch?v=bqCLijfp9jA")
"バーチャルおばあちゃん","2018-01-31T09:49:00Z","バーチャルおばあちゃんと壺のやつ【Getting Over It】",=HYPERLINK("https://www.youtube.com/watch?v=PExq2GAyaFM")
"バーチャルおばあちゃん","2018-02-04T07:23:45Z","卍1【MHW】バーチャルおばあちゃんがはじめてモンハンワールド 【キャラメイク編】",=HYPERLINK("https://www.youtube.com/watch?v=Ql4dPMwY2Zc")
"星咲ちあ","2018-01-31T01:11:51Z","めちゃかわ！？バーチャル魔法少女Youtuberちあ爆☆誕",=HYPERLINK("https://www.youtube.com/watch?v=xWlzkk5Plto")
"星咲ちあ","2018-01-31T13:24:39Z","【ちあのおまけミニ動画】Twitterはじめたんだよ！",=HYPERLINK("https://www.youtube.com/watch?v=WPBIbaW0bFg")
"星咲ちあ","2018-02-04T11:55:37Z","【バーチャル魔法少女ちあ】気になるアレの秘密が明かされる…！！【2】",=HYPERLINK("https://www.youtube.com/watch?v=6QDf1KjQoXU")
"星咲ちあ","2018-02-06T12:49:16Z","【ちあのおまけミニ動画】ちあ、踊り狂う",=HYPERLINK("https://www.youtube.com/watch?v=oF02a_r3Wzk")
"星咲ちあ","2018-02-09T08:45:38Z","【バーチャル魔法少女ちあ】ちあの本気を公開します【3】",=HYPERLINK("https://www.youtube.com/watch?v=IP8MVO15DPA")
"樋口楓","2018-02-08T19:06:09Z","【樋口楓】はじめましての自己紹介【にじさんじ】",=HYPERLINK("https://www.youtube.com/watch?v=z7_tYBlUWp0")
"樋口楓","2018-02-13T13:01:29Z","【樋口楓】初Youtube配信【mabinogi&お絵かき】",=HYPERLINK("https://www.youtube.com/watch?v=Uo1wlSfatRc")
"樋口楓","2018-02-14T15:42:19Z","【樋口楓】ミラティブ配信1回目",=HYPERLINK("https://www.youtube.com/watch?v=bLXrKfR9vRg")
"樋口楓","2018-02-15T20:17:09Z","【樋口楓】ミラティブ配信2回目",=HYPERLINK("https://www.youtube.com/watch?v=x4TbLHiKdXQ")
"樋口楓","2018-02-16T13:16:38Z","助けて！樋口楓の初Youtube配信withアキくんちゃん",=HYPERLINK("https://www.youtube.com/watch?v=OvEX1mGTtls")
"月ノ美兎","2018-02-08T00:08:04Z","にじさんじ公式バーチャルユーチューバー 8人始動！",=HYPERLINK("https://www.youtube.com/watch?v=8tTKwtgzJwA")
"月ノ美兎","2018-02-10T09:16:54Z","月ノ美兎、名探偵になるの巻【にじさんじ公式】",=HYPERLINK("https://www.youtube.com/watch?v=lY9rh8gu4Bo")
